Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	0.95	-1.7347e-018	5.e-002	-7.3947e-003
2	0.9	9.8608e-032	5.e-002	-6.7984e-003
3	0.85	2.4652e-031	5.e-002	-6.2079e-003
4	0.8	3.4694e-018	5.e-002	-5.6264e-003
5	0.75	-3.6978e-032	5.e-002	-5.0569e-003
6	0.7	0.	5.e-002	-4.5025e-003
7	0.65	2.4652e-032	5.e-002	-3.9661e-003
8	0.6	0.	5.e-002	-3.4508e-003
9	0.55	2.4652e-032	5.e-002	-2.9595e-003
10	0.5	-3.4694e-018	5.e-002	-2.4953e-003
11	0.45	-3.4694e-018	5.e-002	-2.0611e-003
12	0.4	5.5467e-032	5.e-002	-1.66e-003
13	0.35	0.	5.e-002	-1.2949e-003
14	0.3	0.	5.e-002	-9.6888e-004
15	0.25	-6.163e-033	5.e-002	-6.8489e-004
16	0.2	-1.7347e-018	5.e-002	-4.4593e-004
17	0.15	9.2445e-033	5.e-002	-2.5506e-004
18	0.1	-1.7347e-018	5.e-002	-1.151e-004
19	5.e-002	-3.0815e-033	5.e-002	-2.9442e-005
20	5.e-002	-6.163e-033	0.	-2.2523e-005
21	0.1	-3.4694e-018	0.	-1.0725e-004
22	0.15	1.8489e-032	0.	-2.4745e-004
23	0.2	-3.4694e-018	0.	-4.3876e-004
24	0.25	-1.2326e-032	0.	-6.7816e-004
25	0.3	0.	0.	-9.6261e-004
26	0.35	0.	0.	-1.2891e-003
27	0.4	1.1093e-031	0.	-1.6546e-003
28	0.45	-6.9389e-018	0.	-2.0562e-003
29	0.5	-6.9389e-018	0.	-2.4908e-003
30	0.55	4.9304e-032	0.	-2.9555e-003
31	0.6	0.	0.	-3.4472e-003
32	0.65	4.9304e-032	0.	-3.963e-003
33	0.7	0.	0.	-4.4998e-003
34	0.75	-7.3956e-032	0.	-5.0547e-003
35	0.8	6.9389e-018	0.	-5.6246e-003
36	0.85	4.9304e-031	0.	-6.2065e-003
37	0.9	1.9722e-031	0.	-6.7975e-003
38	0.95	-3.4694e-018	0.	-7.3942e-003
39	0.95	0.	0.1	-7.3942e-003
40	0.9	0.	0.1	-6.7975e-003
41	0.85	0.	0.1	-6.2065e-003
42	0.8	0.	0.1	-5.6246e-003
43	0.75	0.	0.1	-5.0547e-003
44	0.7	0.	0.1	-4.4998e-003
45	0.65	0.	0.1	-3.963e-003
46	0.6	0.	0.1	-3.4472e-003
47	0.55	0.	0.1	-2.9555e-003
48	0.5	0.	0.1	-2.4908e-003
49	0.45	0.	0.1	-2.0562e-003
50	0.4	0.	0.1	-1.6546e-003
51	0.35	0.	0.1	-1.2891e-003
52	0.3	0.	0.1	-9.6261e-004
53	0.25	0.	0.1	-6.7816e-004
54	0.2	0.	0.1	-4.3876e-004
55	0.15	0.	0.1	-2.4745e-004
56	0.1	0.	0.1	-1.0725e-004
57	5.e-002	0.	0.1	-2.2523e-005
58	5.e-002	-5.e-002	0.1	-2.8194e-005
59	0.1	-5.e-002	0.1	-1.1377e-004
60	0.15	-5.e-002	0.1	-2.5392e-004
61	0.2	-5.e-002	0.1	-4.4478e-004
62	0.25	-5.e-002	0.1	-6.8375e-004
63	0.3	-5.e-002	0.1	-9.6774e-004
64	0.35	-5.e-002	0.1	-1.2938e-003
65	0.4	-5.e-002	0.1	-1.6589e-003
66	0.45	-5.e-002	0.1	-2.06e-003
67	0.5	-5.e-002	0.1	-2.4942e-003
68	0.55	-5.e-002	0.1	-2.9584e-003
69	0.6	-5.e-002	0.1	-3.4497e-003
70	0.65	-5.e-002	0.1	-3.965e-003
71	0.7	-5.e-002	0.1	-4.5014e-003
72	0.75	-5.e-002	0.1	-5.0558e-003
73	0.8	-5.e-002	0.1	-5.6252e-003
74	0.85	-5.e-002	0.1	-6.2067e-003
75	0.9	-5.e-002	0.1	-6.7974e-003
76	0.95	-5.e-002	0.1	-7.3943e-003
77	1.	-5.e-002	0.1	-7.9924e-003
78	1.	0.	0.1	-7.9932e-003
